,myear,fuel,km,owner,transmission,brand,model,variant,price,city
1439,2017,Petrol,"25,000 kms",First Owner,Manual,Maruti Alto 800 VXI Optional,Maruti Alto 800 VXI Optional,NaN,2.7 Lakh*,Ahmedabad
1440,2006,Petrol,"1,70,000 kms",Second Owner,Manual,Ford Fiesta 1.4 Duratec EXI,Ford Fiesta 1.4 Duratec EXI,NaN,1.5 Lakh*,Ahmedabad
1441,2018,Petrol,"1,00,000 kms",First Owner,Automatic,Hyundai Grand i10 1.2 Kappa Sportz AT,Hyundai Grand i10 1.2 Kappa Sportz AT,NaN,5.5 Lakh*,Ahmedabad
1442,2018,Petrol,"10,000 kms",First Owner,Manual,Ford Aspire 1.2 Ti-VCT Titanium,Ford Aspire 1.2 Ti-VCT Titanium,NaN,6 Lakh*,Ahmedabad
1443,2011,Petrol,"53,464 Kms",2nd Owner,Manual,2011 Hyundai i10,2011 Hyundai i10,Era,"2,84,000",Bangalore
1444,2017,Petrol,"44,490 Kms",1st Owner,Manual,2017 Honda Jazz,2017 Honda Jazz,1.2 S i VTEC,"6,51,000",Bangalore
1445,2018,Petrol,"22,912 Kms",1st Owner,Manual,2018 Renault KWID,2018 Renault KWID,1.0 RXT Optional,"4,44,500",Bangalore
1446,2019,Petrol,"19,987 Kms",1st Owner,Manual,2019 Hyundai Santro,2019 Hyundai Santro,Asta,"5,83,500",Bangalore
1447,2014,Diesel,"62,204 Kms",2nd Owner,Manual,2014 Ford Ecosport,2014 Ford Ecosport,Titanium Diesel,"6,22,500",Bangalore
1448,2020,Petrol,"9,097 Kms",1st Owner,Manual,2020 MG Hector,2020 MG Hector,Hybrid Sharp MT,"19,03,500",Bangalore
1449,2019,Petrol,"34,350 Kms",1st Owner,Manual,2019 Maruti Eeco,2019 Maruti Eeco,5 Seater AC,"4,30,000",Bangalore
1450,2017,Diesel,"5,545 Kms",1st Owner,Manual,2017 Ford Figo,2017 Ford Figo,Titanium Diesel,"5,81,000",Bangalore
1451,2017,Petrol,"64,317 Kms",2nd Owner,Automatic,2017 Honda Jazz,2017 Honda Jazz,V CVT,"6,73,500",Bangalore
1452,2017,Diesel,"72,431 Kms",1st Owner,Manual,2017 Maruti Vitara Brezza,2017 Maruti Vitara Brezza,VDi,"8,60,000",Bangalore
1453,2015,Petrol,"59,439 Kms",1st Owner,Manual,2015 Honda Amaze,2015 Honda Amaze,S i-Vtech,"4,57,500",Bangalore
1454,2015,Petrol,"39,796 Kms",1st Owner,Manual,2015 Hyundai i20,2015 Hyundai i20,Era 1.2,"5,67,000",Bangalore
1455,2015,Diesel,"53,737 Kms",1st Owner,Automatic,2015 Tata Zest,2015 Tata Zest,Quadrajet 1.3 XTA,"4,49,500",Bangalore
1456,2018,Petrol,"26,453 Kms",1st Owner,Manual,2018 Maruti Swift Dzire,2018 Maruti Swift Dzire,VXI 1.2 BS IV,"7,06,000",Bangalore
1457,2013,Diesel,"89,000 kms",Second Owner,Automatic,Porsche Cayenne Diesel,Porsche Cayenne Diesel,NaN,34.95 Lakh*,Bangalore
1458,2018,Diesel,"78,000 kms",First Owner,Automatic,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,NaN,21.75 Lakh*,Bangalore
1459,2010,Diesel,"80,000 kms",First Owner,Automatic,Audi Q5 3.0 TDI,Audi Q5 3.0 TDI,NaN,12.5 Lakh*,Bangalore
1460,2009,Petrol,"45,000 kms",Second Owner,Automatic,Honda City 1.5 V AT,Honda City 1.5 V AT,NaN,4.45 Lakh*,Bangalore
1461,2015,Diesel,"64,000 kms",First Owner,Automatic,BMW 3 Series 320d Sport Line,BMW 3 Series 320d Sport Line,NaN,22.75 Lakh*,Bangalore
1462,2013,Petrol,"95,000 kms",First Owner,Automatic,Honda CR V 2.4L 4WD AT AVN,Honda CR V 2.4L 4WD AT AVN,NaN,10 Lakh*,Bangalore
1463,2016,Diesel,"23,622 Kms",1st Owner,Manual,2016 Hyundai Grand i10,2016 Hyundai Grand i10,CRDi Asta Option,"6,03,000",Bangalore
1464,2016,Petrol,"33,285 Kms",1st Owner,Manual,2016 Hyundai EON,2016 Hyundai EON,Era Plus,"3,60,000",Bangalore
1465,2015,Petrol,"4,924 Kms",1st Owner,Manual,2015 Hyundai EON,2015 Hyundai EON,Magna Plus,"3,47,500",Bangalore
1466,2009,Petrol,"26,213 Kms",1st Owner,Manual,2009 Hyundai i10,2009 Hyundai i10,Magna 1.2,"2,96,000",Bangalore
1467,2017,Petrol,"42,206 Kms",1st Owner,Manual,2018 Maruti Ignis,2018 Maruti Ignis,1.2 Delta BSIV,"4,70,000",Bangalore
1468,2016,Petrol,"19,022 Kms",1st Owner,Manual,2016 Mahindra KUV 100,2016 Mahindra KUV 100,mFALCON G80 K8,"4,24,000",Bangalore
1469,2016,Petrol,"43,771 Kms",1st Owner,Manual,2016 Honda Brio,2016 Honda Brio,1.2 E MT,"3,80,000",Bangalore
1470,2019,Petrol,"9,369 Kms",1st Owner,Manual,2019 Hyundai Grand i10,2019 Hyundai Grand i10,1.2 Kappa Sportz BSIV,"5,85,000",Bangalore
1471,2010,Petrol,"60,998 Kms",1st Owner,Manual,2010 Maruti Alto,2010 Maruti Alto,LXi BSIII,"2,30,500",Bangalore
1472,2008,Petrol,"93,398 Kms",1st Owner,Manual,2008 Hyundai i10,2008 Hyundai i10,Sportz,"2,73,500",Bangalore
1473,2019,Petrol,"37,381 Kms",1st Owner,Automatic,2019 Maruti Celerio,2019 Maruti Celerio,ZXI AMT,"5,39,000",Bangalore
1474,2018,Petrol,"17,000 Kms",1st Owner,Automatic,2018 Renault KWID,2018 Renault KWID,Climber 1.0 AMT Opt,"4,99,568",Bangalore
1475,2019,Petrol,"7,129 Kms",1st Owner,Manual,2019 Hyundai Grand i10,2019 Hyundai Grand i10,Sportz,"6,36,500",Bangalore
1476,2013,Petrol,"44,110 Kms",1st Owner,Manual,2013 Hyundai Grand i10,2013 Hyundai Grand i10,1.2 Kappa Asta,"4,52,760",Bangalore
1477,2016,Petrol,"18,740 Kms",1st Owner,Manual,2016 Hyundai Grand i10,2016 Hyundai Grand i10,Sportz,"4,95,000",Bangalore
1478,2018,Petrol,"24,416 Kms",1st Owner,Automatic,2018 Renault KWID,2018 Renault KWID,1.0 RXT AMT BSIV,"4,77,000",Bangalore
1479,2017,Petrol,"21,042 Kms",2nd Owner,Automatic,2017 Maruti Celerio,2017 Maruti Celerio,ZXI AMT BSIV,"4,76,500",Bangalore
1480,2015,Petrol,"26,166 Kms",1st Owner,Manual,2015 Honda Jazz,2015 Honda Jazz,1.2 SV i VTEC,"6,00,000",Bangalore
1481,2017,Petrol,"42,752 Kms",1st Owner,Manual,2018 Maruti Alto 800,2018 Maruti Alto 800,LXI,"2,55,000",Bangalore
1482,2012,Petrol,"82,001 Kms",1st Owner,Manual,2012 Maruti Alto K10,2012 Maruti Alto K10,2010-2014 VXI,"2,65,000",Bangalore
1483,2016,Diesel,"23,622 Kms",1st Owner,Manual,2016 Hyundai Grand i10,2016 Hyundai Grand i10,CRDi Asta Option,"6,03,000",Bangalore
1484,2016,Petrol,"33,285 Kms",1st Owner,Manual,2016 Hyundai EON,2016 Hyundai EON,Era Plus,"3,60,000",Bangalore
1485,2015,Petrol,"4,924 Kms",1st Owner,Manual,2015 Hyundai EON,2015 Hyundai EON,Magna Plus,"3,47,500",Bangalore
1486,2009,Petrol,"26,213 Kms",1st Owner,Manual,2009 Hyundai i10,2009 Hyundai i10,Magna 1.2,"2,96,000",Bangalore
