,myear,fuel,km,owner,transmission,brand,model,variant,price,city
3545,2020,Petrol,"16,579 kms",First Owner,Manual,Volkswagen Polo 1.0 TSI Highline Plus,Volkswagen Polo 1.0 TSI Highline Plus,NaN,8.85 Lakh*,Bangalore
3546,2015,Diesel,"57,076 kms",First Owner,Automatic,Volkswagen Jetta 2.0L TDI Highline AT,Volkswagen Jetta 2.0L TDI Highline AT,NaN,11.75 Lakh*,Bangalore
3547,2018,Diesel,"61,113 kms",First Owner,Manual,Maruti Swift VDI,Maruti Swift VDI,NaN,7.85 Lakh*,Bangalore
3548,2014,Diesel,"53,901 kms",Second Owner,Manual,Maruti Swift VDI,Maruti Swift VDI,NaN,5.4 Lakh*,Bangalore
3549,2016,Petrol,"44,805 kms",Second Owner,Manual,Hyundai i20 2015-2017 Asta Option 1.2,Hyundai i20 2015-2017 Asta Option 1.2,NaN,7.5 Lakh*,Bangalore
3550,2015,Petrol,"57,226 kms",First Owner,Automatic,Maruti Celerio VXI AT,Maruti Celerio VXI AT,NaN,4.95 Lakh*,Bangalore
3551,2018,Petrol,"16,922 kms",First Owner,Manual,Maruti Celerio X ZXI BSIV,Maruti Celerio X ZXI BSIV,NaN,6.25 Lakh*,Bangalore
3552,2015,Petrol,"66,965 kms",First Owner,Automatic,Hyundai Grand i10 AT Asta,Hyundai Grand i10 AT Asta,NaN,5.35 Lakh*,Bangalore
3553,2017,Petrol,"55,100 kms",First Owner,Manual,Volkswagen Polo 1.2 MPI Comfortline,Volkswagen Polo 1.2 MPI Comfortline,NaN,6.75 Lakh*,Bangalore
3554,2014,Petrol,"49,021 kms",Second Owner,Manual,Honda Brio S MT,Honda Brio S MT,NaN,4.5 Lakh*,Bangalore
3555,2017,Petrol,"65,860 kms",First Owner,Manual,Hyundai Creta 1.6 SX Option,Hyundai Creta 1.6 SX Option,NaN,11.75 Lakh*,Bangalore
3556,2006,Diesel,"1,74,906 kms",First Owner,Manual,Toyota Innova 2.5 E,Toyota Innova 2.5 E,NaN,5.5 Lakh*,Bangalore
3557,2006,Petrol,"1,26,320 kms",First Owner,Manual,Toyota Innova 2.0 V,Toyota Innova 2.0 V,NaN,4.75 Lakh*,Bangalore
3558,2010,Diesel,"1,13,955 kms",First Owner,Manual,Hyundai i20 1.4 CRDi Magna,Hyundai i20 1.4 CRDi Magna,NaN,3.75 Lakh*,Bangalore
3559,2016,Diesel,"60,000 kms",First Owner,Manual,Ford EcoSport 1.5 Diesel Titanium Plus,Ford EcoSport 1.5 Diesel Titanium Plus,NaN,7.65 Lakh*,Bangalore
3560,2017,Petrol,"37,850 kms",First Owner,Manual,Maruti Wagon R VXI Minor ABS,Maruti Wagon R VXI Minor ABS,NaN,4.4 Lakh*,Bangalore
3561,2008,Petrol,"60,200 kms",First Owner,Manual,Maruti Alto LXi,Maruti Alto LXi,NaN,2.1 Lakh*,Bangalore
3562,2014,Diesel,"51,976 kms",First Owner,Automatic,Volkswagen Vento 1.5 TDI Highline AT,Volkswagen Vento 1.5 TDI Highline AT,NaN,6 Lakh*,Bangalore
3563,2011,Petrol,"73,590 kms",First Owner,Manual,Toyota Etios G,Toyota Etios G,NaN,3.5 Lakh*,Bangalore
3564,2016,Petrol,"38,692 kms",First Owner,Manual,Honda Amaze 2016-2021 S Petrol,Honda Amaze 2016-2021 S Petrol,NaN,5.5 Lakh*,Bangalore
3565,2017,Diesel,"59,685 kms",First Owner,Manual,Ford EcoSport 1.5 TDCi Titanium BSIV,Ford EcoSport 1.5 TDCi Titanium BSIV,NaN,8 Lakh*,Bangalore
3566,2009,Petrol,"1,01,251 kms",Second Owner,Manual,Toyota Corolla Altis 1.8 G,Toyota Corolla Altis 1.8 G,NaN,3.45 Lakh*,Bangalore
3567,2020,Petrol,"14,100 kms",First Owner,Manual,Honda Amaze 2016-2021 VX Petrol,Honda Amaze 2016-2021 VX Petrol,NaN,8.55 Lakh*,Bangalore
3568,2017,Petrol,"38,696 kms",First Owner,Manual,Hyundai Grand i10 1.2 Kappa Sportz BSIV,Hyundai Grand i10 1.2 Kappa Sportz BSIV,NaN,5.95 Lakh*,Bangalore
3569,2012,Diesel,"20,374 kms",First Owner,Manual,Hyundai i20 1.4 Asta CRDi with AVN,Hyundai i20 1.4 Asta CRDi with AVN,NaN,5.75 Lakh*,Bangalore
3570,2017,Diesel,"44,727 kms",First Owner,Automatic,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,NaN,21.5 Lakh*,Bangalore
3571,2016,Diesel,"40,786 kms",First Owner,Automatic,Audi Q3 35 TDI Quattro Premium Plus,Audi Q3 35 TDI Quattro Premium Plus,NaN,25.75 Lakh*,Bangalore
3572,2019,Petrol,"32,799 kms",First Owner,Manual,Honda WR-V Exclusive Petrol,Honda WR-V Exclusive Petrol,NaN,9.15 Lakh*,Bangalore
3573,2013,Petrol,"47,000 kms",Second Owner,Automatic,Mercedes-Benz A-Class A180 Sport Edition,Mercedes-Benz A-Class A180 Sport Edition,NaN,14.45 Lakh*,Bangalore
3574,2014,Petrol,"45,511 kms",First Owner,Manual,Volkswagen Polo 1.2 MPI Highline,Volkswagen Polo 1.2 MPI Highline,NaN,5.45 Lakh*,Bangalore
3575,2017,Diesel,"83,400 kms",Second Owner,Automatic,Volvo XC 90 D5 R-Design,Volvo XC 90 D5 R-Design,NaN,47 Lakh*,Bangalore
3576,2013,Diesel,"87,000 kms",Third Owner,Manual,Ford EcoSport 1.5 DV5 MT Titanium,Ford EcoSport 1.5 DV5 MT Titanium,NaN,4.75 Lakh*,Bangalore
3577,2017,Diesel,"55,000 kms",Second Owner,Automatic,Mercedes-Benz C-Class C 220 CDI Avantgarde,Mercedes-Benz C-Class C 220 CDI Avantgarde,NaN,29.84 Lakh*,Bangalore
3578,2012,Diesel,"1,03,000 kms",First Owner,Automatic,BMW X3 xDrive20d,BMW X3 xDrive20d,NaN,18.5 Lakh*,Bangalore
3579,2012,Petrol,"61,800 kms",Second Owner,Manual,Maruti Swift VXI,Maruti Swift VXI,NaN,4.45 Lakh*,Bangalore
3580,2014,Diesel,"81,000 kms",Second Owner,Manual,Hyundai Santa Fe 2WD MT,Hyundai Santa Fe 2WD MT,NaN,13.5 Lakh*,Bangalore
3581,2017,Petrol,"37,000 kms",First Owner,Manual,Honda Jazz V,Honda Jazz V,NaN,7 Lakh*,Bangalore
3582,2018,Diesel,"99,791 kms",Second Owner,Automatic,Toyota Fortuner 2016-2021 2.8 4WD AT BSIV,Toyota Fortuner 2016-2021 2.8 4WD AT BSIV,NaN,29.5 Lakh*,Bangalore
3583,2012,Diesel,"92,000 kms",Third Owner,Manual,Skoda Rapid 1.6 TDI Ambition,Skoda Rapid 1.6 TDI Ambition,NaN,4.1 Lakh*,Bangalore
3584,2014,Petrol,"55,000 kms",First Owner,Manual,Maruti Alto 800 LXI,Maruti Alto 800 LXI,NaN,3 Lakh*,Bangalore
3585,2010,Petrol,"54,000 kms",Second Owner,Manual,Chevrolet Beat LT,Chevrolet Beat LT,NaN,2.75 Lakh*,Bangalore
3586,2010,Diesel,"91,000 kms",First Owner,Automatic,BMW 3 Series 320d Sedan,BMW 3 Series 320d Sedan,NaN,11.75 Lakh*,Bangalore
3587,2010,Petrol,"64,000 kms",Second Owner,Manual,Hyundai i10 Magna 1.2,Hyundai i10 Magna 1.2,NaN,3 Lakh*,Bangalore
3588,2004,Diesel,"99,000 kms",Second Owner,Automatic,Mercedes-Benz E-Class E270 CDI,Mercedes-Benz E-Class E270 CDI,NaN,8.5 Lakh*,Bangalore
3589,2013,Diesel,"90,180 kms",Second Owner,Manual,Mitsubishi Pajero Sport 4X4,Mitsubishi Pajero Sport 4X4,NaN,12 Lakh*,Bangalore
3590,2018,Petrol,"13,516 kms",First Owner,Manual,Hyundai Grand i10 1.2 Kappa Sportz BSIV,Hyundai Grand i10 1.2 Kappa Sportz BSIV,NaN,5.85 Lakh*,Bangalore
3591,2018,Petrol,"23,303 kms",First Owner,Automatic,Toyota Yaris V CVT BSIV,Toyota Yaris V CVT BSIV,NaN,11.75 Lakh*,Bangalore
3592,2011,Diesel,"50,916 kms",Second Owner,Manual,Maruti Swift Dzire LDi,Maruti Swift Dzire LDi,NaN,4.25 Lakh*,Bangalore
3593,2018,Petrol,"12,000 kms",Second Owner,Manual,Hyundai Creta 1.6 SX Dual Tone,Hyundai Creta 1.6 SX Dual Tone,NaN,12.5 Lakh*,Bangalore
3594,2018,Petrol,"8,722 kms",First Owner,Automatic,Maruti Celerio VXI AMT BSIV,Maruti Celerio VXI AMT BSIV,NaN,5.1 Lakh*,Bangalore
3595,2018,Petrol,"23,167 kms",First Owner,Automatic,Maruti Ciaz 1.4 AT Alpha,Maruti Ciaz 1.4 AT Alpha,NaN,8.9 Lakh*,Bangalore
3596,2018,Diesel,"30,000 kms",First Owner,Manual,Jeep Compass 2.0 Sport,Jeep Compass 2.0 Sport,NaN,16 Lakh*,Bangalore
3597,2010,Petrol,"80,000 kms",Second Owner,Manual,Honda Jazz S,Honda Jazz S,NaN,3.75 Lakh*,Bangalore
3598,2016,Petrol,"74,000 kms",Second Owner,Manual,Hyundai i20 2015-2017 Asta Option 1.2,Hyundai i20 2015-2017 Asta Option 1.2,NaN,6.5 Lakh*,Bangalore
3599,2011,Diesel,"77,000 kms",First Owner,Manual,Ford Figo Diesel Titanium,Ford Figo Diesel Titanium,NaN,3.5 Lakh*,Bangalore
3600,2019,Petrol,"17,000 kms",First Owner,Manual,Kia Seltos HTK Plus G,Kia Seltos HTK Plus G,NaN,12.5 Lakh*,Bangalore
3601,2018,Diesel,"29,000 kms",Second Owner,Manual,Maruti Swift ZDI Plus,Maruti Swift ZDI Plus,NaN,8.25 Lakh*,Bangalore
3602,2017,Petrol,"13,000 kms",First Owner,Manual,Tata Nano XT,Tata Nano XT,NaN,2.45 Lakh*,Bangalore
3603,2019,Petrol,"11,000 kms",First Owner,Manual,Maruti Eeco 5 Seater Standard BSIV,Maruti Eeco 5 Seater Standard BSIV,NaN,4.5 Lakh*,Bangalore
3604,2007,Petrol,"79,000 kms",First Owner,Manual,Hyundai Santro Xing XL,Hyundai Santro Xing XL,NaN,2.25 Lakh*,Bangalore
3605,2012,Diesel,"77,000 kms",First Owner,Manual,Maruti Swift VDI,Maruti Swift VDI,NaN,5.1 Lakh*,Bangalore
3606,2018,Petrol,"25,000 kms",First Owner,Manual,Maruti Eeco 7 Seater Standard BSIV,Maruti Eeco 7 Seater Standard BSIV,NaN,4.25 Lakh*,Bangalore
3607,2016,Petrol,"51,000 kms",Second Owner,Automatic,Volkswagen Polo 2015-2019 GT TSI,Volkswagen Polo 2015-2019 GT TSI,NaN,8.6 Lakh*,Bangalore
3608,2013,Petrol,"67,000 kms",First Owner,Manual,Maruti Alto K10 LXI,Maruti Alto K10 LXI,NaN,2.95 Lakh*,Bangalore
3609,2016,Diesel,"44,000 kms",First Owner,Manual,Maruti Baleno Alpha Diesel,Maruti Baleno Alpha Diesel,NaN,7.43 Lakh*,Bangalore
3610,2015,Diesel,"66,000 kms",Second Owner,Automatic,Volkswagen Vento 1.5 TDI Highline AT,Volkswagen Vento 1.5 TDI Highline AT,NaN,7.23 Lakh*,Bangalore
3611,2013,Diesel,"1,30,144 kms",First Owner,Manual,Nissan Terrano XL Plus 85 PS,Nissan Terrano XL Plus 85 PS,NaN,6.75 Lakh*,Bangalore
3612,2012,Diesel,"75,000 kms",Second Owner,Manual,Mahindra Xylo E8 ABS BS III,Mahindra Xylo E8 ABS BS III,NaN,5.9 Lakh*,Bangalore
3613,2011,Petrol,"69,000 kms",Second Owner,Manual,Hyundai i10 Magna,Hyundai i10 Magna,NaN,3.73 Lakh*,Bangalore
3614,2015,Diesel,"1,41,191 kms",Second Owner,Manual,Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota Innova 2.5 G (Diesel) 7 Seater,NaN,13.73 Lakh*,Bangalore
3615,2015,Diesel,"81,000 kms",Second Owner,Manual,Maruti Ciaz ZDi Option,Maruti Ciaz ZDi Option,NaN,6.98 Lakh*,Bangalore
3616,2017,Diesel,"58,000 kms",First Owner,Manual,Ford EcoSport 1.5 Diesel Trend BSIV,Ford EcoSport 1.5 Diesel Trend BSIV,NaN,8.75 Lakh*,Bangalore
3617,2017,Petrol,"54,020 kms",First Owner,Automatic,Maruti Baleno Delta CVT,Maruti Baleno Delta CVT,NaN,7.75 Lakh*,Bangalore
3618,2019,Diesel,"12,812 kms",First Owner,Automatic,Tata Nexon 1.5 Revotorq XMA,Tata Nexon 1.5 Revotorq XMA,NaN,10.15 Lakh*,Bangalore
3619,2016,Diesel,"1,19,543 kms",First Owner,Automatic,Toyota Innova Crysta 2016-2020 2.4 GX AT,Toyota Innova Crysta 2016-2020 2.4 GX AT,NaN,15.65 Lakh*,Bangalore
3620,2017,Diesel,"16,000 kms",First Owner,Manual,Chevrolet Tavera LT 9 Str BS IV,Chevrolet Tavera LT 9 Str BS IV,NaN,9.65 Lakh*,Bangalore
3621,2009,Petrol,"80,000 kms",First Owner,Manual,Toyota Corolla Altis G,Toyota Corolla Altis G,NaN,4.75 Lakh*,Bangalore
3622,2008,Petrol,"87,000 kms",Third Owner,Manual,Honda Civic 1.8 V MT,Honda Civic 1.8 V MT,NaN,3.2 Lakh*,Bangalore
3623,2017,Diesel,"53,046 kms",First Owner,Manual,Hyundai i20 2015-2017 Asta 1.4 CRDi,Hyundai i20 2015-2017 Asta 1.4 CRDi,NaN,7.85 Lakh*,Bangalore
3624,2015,Diesel,"1,14,813 kms",First Owner,Manual,Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota Innova 2.5 VX (Diesel) 7 Seater,NaN,13.6 Lakh*,Bangalore
3625,2009,Petrol,"79,373 kms",Second Owner,Manual,Maruti Wagon R LXI Minor,Maruti Wagon R LXI Minor,NaN,2.45 Lakh*,Bangalore
3626,2017,Diesel,"60,000 kms",First Owner,Automatic,Mercedes-Benz C-Class C 220 CDI Style,Mercedes-Benz C-Class C 220 CDI Style,NaN,32.45 Lakh*,Bangalore
3627,2014,Diesel,"60,000 kms",First Owner,Automatic,Mercedes-Benz E-Class E250 CDI Avantgrade,Mercedes-Benz E-Class E250 CDI Avantgrade,NaN,24.73 Lakh*,Bangalore
3628,2017,Petrol,"31,000 kms",First Owner,Manual,Honda BRV i-VTEC S MT,Honda BRV i-VTEC S MT,NaN,7.75 Lakh*,Bangalore
3629,2016,Petrol,"52,000 kms",First Owner,Manual,Hyundai Grand i10 Asta,Hyundai Grand i10 Asta,NaN,5.35 Lakh*,Bangalore
3630,2017,Petrol,"20,000 kms",Second Owner,Manual,Maruti Baleno Delta 1.2,Maruti Baleno Delta 1.2,NaN,6.1 Lakh*,Bangalore
3631,2003,Petrol,"60,000 kms",Second Owner,Manual,Hyundai Santro Xing XG,Hyundai Santro Xing XG,NaN,1.25 Lakh*,Bangalore
3632,2007,Petrol,"76,000 kms",First Owner,Manual,Maruti SX4 ZXI MT BSIV Leather,Maruti SX4 ZXI MT BSIV Leather,NaN,2.45 Lakh*,Bangalore
3633,2011,Petrol,"74,000 kms",First Owner,Manual,Hyundai i20 1.2 Asta,Hyundai i20 1.2 Asta,NaN,4.25 Lakh*,Bangalore
3634,2013,Petrol,"65,000 kms",First Owner,Manual,Hyundai i20 Magna,Hyundai i20 Magna,NaN,4.75 Lakh*,Bangalore
3635,2012,Petrol,"65,500 kms",First Owner,Manual,Maruti Alto LXi,Maruti Alto LXi,NaN,2.75 Lakh*,Bangalore
3636,2009,Petrol,"62,400 kms",First Owner,Manual,Maruti Wagon R VXI Minor,Maruti Wagon R VXI Minor,NaN,2.65 Lakh*,Bangalore
3637,2011,Petrol,"30,330 kms",Second Owner,Manual,Chevrolet Beat Option Pack,Chevrolet Beat Option Pack,NaN,2.75 Lakh*,Bangalore
3638,2007,Petrol,"70,159 kms",Third Owner,Manual,Hyundai Getz GLE,Hyundai Getz GLE,NaN,1.49 Lakh*,Bangalore
3639,2008,Petrol,"55,000 kms",Third Owner,Manual,Hyundai Santro Xing GLS,Hyundai Santro Xing GLS,NaN,2.25 Lakh*,Bangalore
3640,2019,Petrol,"28,884 kms",First Owner,Automatic,Kia Seltos HTX IVT G,Kia Seltos HTX IVT G,NaN,14.75 Lakh*,Bangalore
3641,2020,Petrol,"8,000 kms",First Owner,Manual,Hyundai Venue SX iMT,Hyundai Venue SX iMT,NaN,10.6 Lakh*,Bangalore
3642,2011,Diesel,"60,000 kms",Second Owner,Manual,Mahindra XUV500 W8 2WD,Mahindra XUV500 W8 2WD,NaN,8.3 Lakh*,Bangalore
3643,2014,Diesel,"64,000 kms",Second Owner,Manual,Mahindra XUV500 W6 2WD,Mahindra XUV500 W6 2WD,NaN,7.9 Lakh*,Bangalore
3644,2018,Petrol,"23,000 kms",Second Owner,Manual,Maruti Ignis Alpha,Maruti Ignis Alpha,NaN,4.95 Lakh*,Bangalore
3645,2011,Petrol,"89,000 kms",Third Owner,Manual,Fiat Linea T-Jet Emotion,Fiat Linea T-Jet Emotion,NaN,2.95 Lakh*,Bangalore
3646,2008,Petrol,"83,000 kms",Third Owner,Manual,Toyota Corolla Altis G,Toyota Corolla Altis G,NaN,3.85 Lakh*,Bangalore
3647,2017,Diesel,"36,000 kms",Second Owner,Manual,Maruti Vitara Brezza ZDi,Maruti Vitara Brezza ZDi,NaN,9.2 Lakh*,Bangalore
3648,2014,Diesel,"87,091 kms",Second Owner,Manual,Mahindra XUV500 W8 2WD,Mahindra XUV500 W8 2WD,NaN,8.4 Lakh*,Bangalore
3649,2015,Petrol,"94,066 kms",First Owner,Manual,Maruti Swift ZXi BSIV,Maruti Swift ZXi BSIV,NaN,5.2 Lakh*,Bangalore
3650,2018,Petrol,"14,218 kms",First Owner,Manual,Volkswagen Ameo 1.0 MPI Highline Plus,Volkswagen Ameo 1.0 MPI Highline Plus,NaN,7.5 Lakh*,Bangalore
3651,2018,Diesel,"56,519 kms",First Owner,Automatic,Maruti Swift AMT ZDI,Maruti Swift AMT ZDI,NaN,7.85 Lakh*,Bangalore
3652,2012,Diesel,"1,19,000 kms",First Owner,Manual,Toyota Fortuner 4x4 MT,Toyota Fortuner 4x4 MT,NaN,16.74 Lakh*,Bangalore
3653,2020,Diesel,"10,446 kms",First Owner,Manual,Tata Nexon 1.5 Revotorq XZ Plus,Tata Nexon 1.5 Revotorq XZ Plus,NaN,12 Lakh*,Bangalore
3654,2018,Petrol,"50,601 kms",First Owner,Manual,Maruti Swift Dzire ZXI 1.2 BS IV,Maruti Swift Dzire ZXI 1.2 BS IV,NaN,8.25 Lakh*,Bangalore
3655,2018,Petrol,"34,925 kms",First Owner,Manual,Hyundai Grand i10 Sportz,Hyundai Grand i10 Sportz,NaN,6.25 Lakh*,Bangalore
3656,2014,Petrol,"47,325 kms",First Owner,Automatic,Honda Brio VX AT,Honda Brio VX AT,NaN,5.35 Lakh*,Bangalore
3657,2014,Petrol,"70,383 kms",First Owner,Automatic,Honda Brio VX AT,Honda Brio VX AT,NaN,5.35 Lakh*,Bangalore
3658,2014,Diesel,"1,27,130 kms",First Owner,Manual,Maruti Ertiga ZDI,Maruti Ertiga ZDI,NaN,7.2 Lakh*,Bangalore
3659,2018,Diesel,"33,257 kms",First Owner,Manual,Maruti Baleno Delta 1.3,Maruti Baleno Delta 1.3,NaN,7.85 Lakh*,Bangalore
3660,2017,Petrol,"9,146 kms",Second Owner,Automatic,Toyota Corolla Altis VL AT,Toyota Corolla Altis VL AT,NaN,14.5 Lakh*,Bangalore
3661,2017,Petrol,"23,934 kms",Second Owner,Automatic,Maruti Wagon R VXI AMT,Maruti Wagon R VXI AMT,NaN,5.15 Lakh*,Bangalore
3662,2011,Petrol,"63,902 kms",First Owner,Manual,Honda Jazz S,Honda Jazz S,NaN,4.5 Lakh*,Bangalore
3663,2014,Diesel,"86,596 kms",First Owner,Automatic,Skoda Octavia Ambition 2.0 TDI AT,Skoda Octavia Ambition 2.0 TDI AT,NaN,14.5 Lakh*,Bangalore
3664,2013,Diesel,"70,374 kms",Second Owner,Automatic,Mahindra Ssangyong Rexton RX7,Mahindra Ssangyong Rexton RX7,NaN,11 Lakh*,Bangalore
3665,2006,Diesel,"1,68,586 kms",Fourth & Above Owner,Manual,Toyota Innova 2.5 V Diesel 8-seater,Toyota Innova 2.5 V Diesel 8-seater,NaN,4.85 Lakh*,Bangalore
3666,2008,Petrol,"1,28,793 kms",Third Owner,Manual,Honda CR-V 2.4 MT,Honda CR-V 2.4 MT,NaN,6.35 Lakh*,Bangalore
3667,2015,Diesel,"70,000 kms",First Owner,Manual,Hyundai i20 Asta 1.4 CRDi,Hyundai i20 Asta 1.4 CRDi,NaN,6.55 Lakh*,Bangalore
3668,2007,Petrol,"75,500 kms",First Owner,Manual,Maruti SX4 ZXI MT BSIV Leather,Maruti SX4 ZXI MT BSIV Leather,NaN,2.35 Lakh*,Bangalore
3669,2013,CNG,"21,829 kms",First Owner,Manual,Maruti Eeco 5 STR With AC Plus HTR CNG,Maruti Eeco 5 STR With AC Plus HTR CNG,NaN,3.25 Lakh*,Bangalore
3670,2012,Petrol,"64,303 kms",Second Owner,Manual,Tata Nano Lx,Tata Nano Lx,NaN,1.2 Lakh*,Bangalore
3671,2018,Petrol,"23,241 kms",First Owner,Automatic,Hyundai i20 1.4 Magna AT,Hyundai i20 1.4 Magna AT,NaN,7 Lakh*,Bangalore
3672,2016,Diesel,"49,750 kms",First Owner,Manual,Toyota Innova Crysta 2016-2020 2.4 ZX MT BSIV,Toyota Innova Crysta 2016-2020 2.4 ZX MT BSIV,NaN,19 Lakh*,Bangalore
3673,2009,Petrol,"1,00,216 kms",First Owner,Manual,Fiat Grande Punto 1.2 Emotion,Fiat Grande Punto 1.2 Emotion,NaN,2.2 Lakh*,Bangalore
3674,2018,Petrol,"25,100 kms",First Owner,Automatic,Volkswagen Polo 2015-2019 GT TSI,Volkswagen Polo 2015-2019 GT TSI,NaN,9.5 Lakh*,Bangalore
3675,2017,Diesel,"33,200 kms",First Owner,Automatic,Mercedes-Benz GL-Class 220d 4MATIC Sport,Mercedes-Benz GL-Class 220d 4MATIC Sport,NaN,47 Lakh*,Bangalore
3676,2017,Petrol,"24,000 kms",First Owner,Automatic,Hyundai Creta 1.6 VTVT AT SX Plus,Hyundai Creta 1.6 VTVT AT SX Plus,NaN,13.5 Lakh*,Bangalore
3677,2017,Diesel,"33,200 kms",Second Owner,Automatic,BMW X5 xDrive 30d,BMW X5 xDrive 30d,NaN,55 Lakh*,Bangalore
3678,2020,Petrol,"9,800 kms",First Owner,Manual,Maruti S-Presso VXI Plus,Maruti S-Presso VXI Plus,NaN,4.65 Lakh*,Bangalore
3679,2015,Petrol,"66,500 kms",First Owner,Manual,Maruti Swift ZXI BSIV,Maruti Swift ZXI BSIV,NaN,6.5 Lakh*,Bangalore
3680,2017,Diesel,"59,450 kms",First Owner,Automatic,Audi Q3 35 TDI Quattro Premium Plus,Audi Q3 35 TDI Quattro Premium Plus,NaN,26.85 Lakh*,Bangalore
3681,2017,Petrol,"37,250 kms",First Owner,Manual,Skoda Rapid 1.6 MPI Style BSIV,Skoda Rapid 1.6 MPI Style BSIV,NaN,8.25 Lakh*,Bangalore
3682,2011,Petrol,"91,000 kms",Third Owner,Manual,Skoda Laura 1.8 TSI Ambiente,Skoda Laura 1.8 TSI Ambiente,NaN,4.75 Lakh*,Bangalore
3683,2016,Petrol,"30,120 kms",Second Owner,Automatic,Ford EcoSport 1.5 Petrol Titanium Plus AT,Ford EcoSport 1.5 Petrol Titanium Plus AT,NaN,7.4 Lakh*,Bangalore
3684,2015,Diesel,"88,000 kms",Second Owner,Automatic,Hyundai Santa Fe 4WD AT,Hyundai Santa Fe 4WD AT,NaN,14.25 Lakh*,Bangalore
3685,2014,Diesel,"54,780 kms",First Owner,Manual,Honda Mobilio V i DTEC,Honda Mobilio V i DTEC,NaN,6.5 Lakh*,Bangalore
3686,2018,Petrol,"20,572 kms",First Owner,Manual,Hyundai Grand i10 1.2 Kappa Sportz BSIV,Hyundai Grand i10 1.2 Kappa Sportz BSIV,NaN,6 Lakh*,Bangalore
3687,2018,Petrol,"23,994 kms",First Owner,Manual,Honda Amaze 2016-2021 S Petrol BSIV,Honda Amaze 2016-2021 S Petrol BSIV,NaN,6.5 Lakh*,Bangalore
3688,2011,Diesel,"2,13,141 kms",First Owner,Manual,Toyota Innova 2.5 GX (Diesel) 7 Seater BS IV,Toyota Innova 2.5 GX (Diesel) 7 Seater BS IV,NaN,7.75 Lakh*,Bangalore
3689,2017,Diesel,"42,000 kms",First Owner,Automatic,Mahindra XUV500 AT W10 1.99 mHawk,Mahindra XUV500 AT W10 1.99 mHawk,NaN,15.25 Lakh*,Bangalore
3690,2014,Diesel,"65,937 kms",Second Owner,Manual,Mahindra XUV500 W8 2WD,Mahindra XUV500 W8 2WD,NaN,8.85 Lakh*,Bangalore
3691,2012,Diesel,"79,960 kms",Second Owner,Manual,Mahindra XUV500 W8 2WD,Mahindra XUV500 W8 2WD,NaN,7.45 Lakh*,Bangalore
3692,2011,Petrol,"39,000 kms",Second Owner,Automatic,BMW Z4 2009-2013 35i,BMW Z4 2009-2013 35i,NaN,32 Lakh*,Bangalore
3693,2016,Petrol,"30,192 kms",Second Owner,Manual,Honda Jazz 1.2 S i VTEC,Honda Jazz 1.2 S i VTEC,NaN,6.4 Lakh*,Bangalore
3694,2015,Diesel,"1,29,495 kms",Second Owner,Manual,Mahindra XUV500 W4,Mahindra XUV500 W4,NaN,8.25 Lakh*,Bangalore
3695,2018,Diesel,"75,927 kms",First Owner,Manual,Toyota Innova Crysta 2016-2020 2.4 ZX MT,Toyota Innova Crysta 2016-2020 2.4 ZX MT,NaN,21.25 Lakh*,Bangalore
3696,2017,Diesel,"41,000 kms",First Owner,Automatic,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,NaN,21.5 Lakh*,Bangalore
3697,2014,Petrol,"30,000 kms",Second Owner,Manual,Hyundai i10 Sportz,Hyundai i10 Sportz,NaN,4.45 Lakh*,Bangalore
3698,2016,Petrol,"51,000 kms",First Owner,Manual,Datsun RediGO S,Datsun RediGO S,NaN,3.15 Lakh*,Bangalore
3699,2016,Petrol,"37,000 kms",First Owner,Automatic,Hyundai Grand i10 AT Asta,Hyundai Grand i10 AT Asta,NaN,5.83 Lakh*,Bangalore
3700,2017,Petrol,"46,000 kms",First Owner,Manual,Maruti Wagon R VXI,Maruti Wagon R VXI,NaN,4.7 Lakh*,Bangalore
3701,2015,Diesel,"45,000 kms",First Owner,Automatic,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,NaN,52.95 Lakh*,Bangalore
3702,2016,Petrol,"37,000 kms",First Owner,Manual,Tata Nano XT,Tata Nano XT,NaN,2.4 Lakh*,Bangalore
3703,2018,Petrol,"32,000 kms",First Owner,Manual,Hyundai i20 Petrol Asta Option,Hyundai i20 Petrol Asta Option,NaN,8.35 Lakh*,Bangalore
3704,2008,Petrol,"67,000 kms",First Owner,Manual,Maruti Swift Dzire VXi,Maruti Swift Dzire VXi,NaN,3.65 Lakh*,Bangalore
3705,2007,LPG,"1,14,754 kms",First Owner,Manual,Maruti Wagon R LX DUO BSIII,Maruti Wagon R LX DUO BSIII,NaN,2.35 Lakh*,Bangalore
3706,2011,Diesel,"85,000 kms",First Owner,Manual,Mahindra Scorpio SLE BSIII,Mahindra Scorpio SLE BSIII,NaN,6.23 Lakh*,Bangalore
